eww.log[2025-05-19 22:05:33] [INFO] Taking area screenshot
[2025-05-19 22:10:38] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:38] [INFO] Setting brightness to 95%
[2025-05-19 22:10:38] [INFO] Current brightness percentage: 94
[2025-05-19 22:10:38] [INFO] Setting brightness to 89%
[2025-05-19 22:10:39] [INFO] Current brightness percentage: 89
[2025-05-19 22:10:39] [INFO] Setting brightness to 84%
[2025-05-19 22:10:39] [INFO] Current brightness percentage: 83
[2025-05-19 22:10:39] [INFO] Setting brightness to 78%
[2025-05-19 22:10:39] [INFO] Current brightness percentage: 78
[2025-05-19 22:10:39] [INFO] Setting brightness to 73%
[2025-05-19 22:10:39] [INFO] Current brightness percentage: 72
[2025-05-19 22:10:39] [INFO] Setting brightness to 67%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 67
[2025-05-19 22:10:40] [INFO] Setting brightness to 62%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 61
[2025-05-19 22:10:40] [INFO] Setting brightness to 56%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 61
[2025-05-19 22:10:40] [INFO] Setting brightness to 56%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 56
[2025-05-19 22:10:40] [INFO] Setting brightness to 51%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 50
[2025-05-19 22:10:40] [INFO] Setting brightness to 45%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 45
[2025-05-19 22:10:40] [INFO] Setting brightness to 40%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 40
[2025-05-19 22:10:40] [INFO] Setting brightness to 35%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 34
[2025-05-19 22:10:40] [INFO] Setting brightness to 29%
[2025-05-19 22:10:40] [INFO] Current brightness percentage: 29
[2025-05-19 22:10:40] [INFO] Setting brightness to 24%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 23
[2025-05-19 22:10:41] [INFO] Setting brightness to 18%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 23
[2025-05-19 22:10:41] [INFO] Setting brightness to 18%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 18
[2025-05-19 22:10:41] [INFO] Setting brightness to 13%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 12
[2025-05-19 22:10:41] [INFO] Setting brightness to 7%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 7
[2025-05-19 22:10:41] [INFO] Setting brightness to 12%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 12
[2025-05-19 22:10:41] [INFO] Setting brightness to 17%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 16
[2025-05-19 22:10:41] [INFO] Setting brightness to 21%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 21
[2025-05-19 22:10:41] [INFO] Setting brightness to 26%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 21
[2025-05-19 22:10:41] [INFO] Setting brightness to 26%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 25
[2025-05-19 22:10:41] [INFO] Setting brightness to 30%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 30
[2025-05-19 22:10:41] [INFO] Setting brightness to 35%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 30
[2025-05-19 22:10:41] [INFO] Setting brightness to 35%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 34
[2025-05-19 22:10:41] [INFO] Setting brightness to 39%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 34
[2025-05-19 22:10:41] [INFO] Setting brightness to 39%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 38
[2025-05-19 22:10:41] [INFO] Setting brightness to 43%
[2025-05-19 22:10:41] [INFO] Current brightness percentage: 43
[2025-05-19 22:10:41] [INFO] Setting brightness to 48%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 47
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Setting brightness to 52%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 52
[2025-05-19 22:10:42] [INFO] Setting brightness to 57%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 56
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 56
[2025-05-19 22:10:42] [INFO] Setting brightness to 61%
[2025-05-19 22:10:42] [INFO] Setting brightness to 61%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 56
[2025-05-19 22:10:42] [INFO] Setting brightness to 61%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 61
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 61
[2025-05-19 22:10:42] [INFO] Setting brightness to 66%
[2025-05-19 22:10:42] [INFO] Setting brightness to 66%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 65
[2025-05-19 22:10:42] [INFO] Setting brightness to 70%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 70
[2025-05-19 22:10:42] [INFO] Setting brightness to 75%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 74
[2025-05-19 22:10:42] [INFO] Setting brightness to 79%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 74
[2025-05-19 22:10:42] [INFO] Setting brightness to 79%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 78
[2025-05-19 22:10:42] [INFO] Setting brightness to 83%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 83
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 83
[2025-05-19 22:10:42] [INFO] Setting brightness to 88%
[2025-05-19 22:10:42] [INFO] Setting brightness to 88%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 83
[2025-05-19 22:10:42] [INFO] Setting brightness to 88%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 87
[2025-05-19 22:10:42] [INFO] Setting brightness to 92%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 92
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 92
[2025-05-19 22:10:42] [INFO] Setting brightness to 97%
[2025-05-19 22:10:42] [INFO] Setting brightness to 97%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 96
[2025-05-19 22:10:42] [INFO] Setting brightness to 100%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:42] [INFO] Setting brightness to 100%
[2025-05-19 22:10:42] [INFO] Setting brightness to 100%
[2025-05-19 22:10:42] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:42] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 100%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 95%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:43] [INFO] Setting brightness to 95%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 94
[2025-05-19 22:10:43] [INFO] Setting brightness to 89%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 89
[2025-05-19 22:10:43] [INFO] Setting brightness to 84%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 89
[2025-05-19 22:10:43] [INFO] Setting brightness to 84%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 83
[2025-05-19 22:10:43] [INFO] Setting brightness to 78%
[2025-05-19 22:10:43] [INFO] Current brightness percentage: 78
[2025-05-19 22:10:43] [INFO] Setting brightness to 73%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 78
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 78
[2025-05-19 22:10:44] [INFO] Setting brightness to 73%
[2025-05-19 22:10:44] [INFO] Setting brightness to 73%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 72
[2025-05-19 22:10:44] [INFO] Setting brightness to 67%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 67
[2025-05-19 22:10:44] [INFO] Setting brightness to 62%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 61
[2025-05-19 22:10:44] [INFO] Setting brightness to 56%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 56
[2025-05-19 22:10:44] [INFO] Setting brightness to 51%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 50
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 50
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 50
[2025-05-19 22:10:44] [INFO] Setting brightness to 45%
[2025-05-19 22:10:44] [INFO] Setting brightness to 45%
[2025-05-19 22:10:44] [INFO] Setting brightness to 45%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 50
[2025-05-19 22:10:44] [INFO] Setting brightness to 45%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 45
[2025-05-19 22:10:44] [INFO] Setting brightness to 40%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 40
[2025-05-19 22:10:44] [INFO] Setting brightness to 35%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 40
[2025-05-19 22:10:44] [INFO] Setting brightness to 35%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 34
[2025-05-19 22:10:44] [INFO] Setting brightness to 29%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 34
[2025-05-19 22:10:44] [INFO] Setting brightness to 29%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 29
[2025-05-19 22:10:44] [INFO] Setting brightness to 24%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 23
[2025-05-19 22:10:44] [INFO] Setting brightness to 18%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 18
[2025-05-19 22:10:44] [INFO] Setting brightness to 13%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 12
[2025-05-19 22:10:44] [INFO] Setting brightness to 7%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 7
[2025-05-19 22:10:44] [INFO] Setting brightness to 2%
[2025-05-19 22:10:44] [INFO] Current brightness percentage: 1
[2025-05-19 22:10:44] [INFO] Setting brightness to 0%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:53] [INFO] Setting brightness to 5%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 5
[2025-05-19 22:10:53] [INFO] Setting brightness to 10%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 10
[2025-05-19 22:10:53] [INFO] Setting brightness to 15%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 14
[2025-05-19 22:10:53] [INFO] Setting brightness to 19%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 18
[2025-05-19 22:10:53] [INFO] Setting brightness to 13%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 18
[2025-05-19 22:10:53] [INFO] Setting brightness to 13%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 12
[2025-05-19 22:10:53] [INFO] Setting brightness to 7%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 7
[2025-05-19 22:10:53] [INFO] Setting brightness to 2%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 1
[2025-05-19 22:10:53] [INFO] Setting brightness to 0%
[2025-05-19 22:10:53] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:53] [INFO] Setting brightness to 0%
[2025-05-19 22:10:54] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:54] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:54] [INFO] Setting brightness to 0%
[2025-05-19 22:10:54] [INFO] Setting brightness to 0%
[2025-05-19 22:10:54] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:54] [INFO] Setting brightness to 0%
[2025-05-19 22:10:54] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:54] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:57] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:57] [INFO] Setting brightness to 0%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 0
[2025-05-19 22:10:58] [INFO] Setting brightness to 5%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 5
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 5
[2025-05-19 22:10:58] [INFO] Setting brightness to 10%
[2025-05-19 22:10:58] [INFO] Setting brightness to 10%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 10
[2025-05-19 22:10:58] [INFO] Setting brightness to 15%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 14
[2025-05-19 22:10:58] [INFO] Setting brightness to 19%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 18
[2025-05-19 22:10:58] [INFO] Setting brightness to 23%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 18
[2025-05-19 22:10:58] [INFO] Setting brightness to 23%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 23
[2025-05-19 22:10:58] [INFO] Setting brightness to 28%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 27
[2025-05-19 22:10:58] [INFO] Setting brightness to 32%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 32
[2025-05-19 22:10:58] [INFO] Setting brightness to 37%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 32
[2025-05-19 22:10:58] [INFO] Setting brightness to 37%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 36
[2025-05-19 22:10:58] [INFO] Setting brightness to 41%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 36
[2025-05-19 22:10:58] [INFO] Setting brightness to 41%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 41
[2025-05-19 22:10:58] [INFO] Setting brightness to 46%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 41
[2025-05-19 22:10:58] [INFO] Setting brightness to 46%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 45
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 45
[2025-05-19 22:10:58] [INFO] Setting brightness to 50%
[2025-05-19 22:10:58] [INFO] Setting brightness to 50%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 50
[2025-05-19 22:10:58] [INFO] Setting brightness to 55%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 54
[2025-05-19 22:10:58] [INFO] Setting brightness to 59%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 58
[2025-05-19 22:10:58] [INFO] Setting brightness to 63%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 58
[2025-05-19 22:10:58] [INFO] Setting brightness to 63%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 63
[2025-05-19 22:10:58] [INFO] Setting brightness to 68%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 63
[2025-05-19 22:10:58] [INFO] Setting brightness to 68%
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 67
[2025-05-19 22:10:58] [INFO] Current brightness percentage: 67
[2025-05-19 22:10:58] [INFO] Setting brightness to 72%
[2025-05-19 22:10:58] [INFO] Setting brightness to 72%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 72
[2025-05-19 22:10:59] [INFO] Setting brightness to 77%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 76
[2025-05-19 22:10:59] [INFO] Setting brightness to 81%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 81
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 81
[2025-05-19 22:10:59] [INFO] Setting brightness to 86%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 81
[2025-05-19 22:10:59] [INFO] Setting brightness to 86%
[2025-05-19 22:10:59] [INFO] Setting brightness to 86%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 85
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 85
[2025-05-19 22:10:59] [INFO] Setting brightness to 90%
[2025-05-19 22:10:59] [INFO] Setting brightness to 90%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 90
[2025-05-19 22:10:59] [INFO] Setting brightness to 95%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 94
[2025-05-19 22:10:59] [INFO] Setting brightness to 99%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 98
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
[2025-05-19 22:10:59] [INFO] Setting brightness to 100%
[2025-05-19 22:10:59] [INFO] Current brightness percentage: 100
